TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
FEXC11;86,84;9,92;0,93;931.276,70;11,65;-0,58;-8,21;570.507.578,19;16.978,00;Ativa;
MTOF11;0,00;0,00;;;1,36;;;164.748.043,09;3,00;Ativa;
RBRP11;71,60;7,67;0,84;1.473.378,10;2,05;2,45;-7,34;1.039.528.286,23;91.240,00;Ativa;
BBRC11;98,94;10,95;0,87;141.442,30;4,50;-0,97;-11,53;180.306.764,82;8.724,00;Passiva;
RBRD11;48,58;1,73;0,67;100.997,80;3,54;-22,69;-16,66;133.408.409,27;11.356,00;Passiva;
HABT11;114,70;16,61;1,18;3.985.778,90;7,44;;;525.875.060,10;38.608,00;Ativa;
XPIN11;87,50;8,59;0,79;754.889,75;7,88;-3,93;-8,44;732.471.149,48;51.940,00;Ativa;
CYCR11;0,00;0,00;;;5,74;;;50.807.846,95;16,00;Ativa;
BRHT11B;86,80;0,00;1,06;;1,63;;;151.087.144,52;11,00;--;
PRZS11;0,00;0,00;;;0,04;;;55.885.666,80;20,00;Ativa;
VRTA11;106,85;11,00;1,09;1.612.083,60;5,75;1,19;-1,61;979.552.050,24;92.315,00;Ativa;
IBCR11;98,60;4,16;1,01;100.599,47;5,93;;;78.635.584,10;366,00;Ativa;
XPSF11;78,40;11,42;0,88;850.419,10;0,31;;;387.643.343,82;20.063,00;Ativa;
TFOF11;138,00;0,00;1,14;;13,36;29,98;4,77;103.080.374,68;3.278,00;Ativa;
BCFF11;69,44;8,87;0,87;2.916.108,90;7,29;-1,88;-5,63;2.017.441.964,56;287.707,00;Ativa;
OUFF11;67,00;11,61;0,83;194.912,50;1,88;;;147.265.031,78;8.837,00;Ativa;
VPSI11;0,00;0,00;;;0,65;-9,87;;148.006.486,50;56,00;Passiva;
VTRT11;0,00;0,00;;;20,14;;;1.030.654.046,20;499,00;Ativa;
IRDM11;109,18;13,43;1,13;7.304.817,45;3,99;13,84;4,74;2.715.119.232,83;193.835,00;Ativa;
KFOF11;80,37;8,57;0,84;452.623,55;1,78;3,75;;432.068.398,88;7.633,00;Ativa;
HBCR11;110,00;8,14;1,20;296.458,20;7,70;;;25.188.504,70;13,00;Ativa;
VGIP11;99,27;13,38;1,04;2.007.592,00;4,09;;;701.479.370,60;42.280,00;Ativa;
RNDP11;640,00;7,53;0,84;701.482,84;9,86;-7,14;-12,37;82.031.902,99;855,00;Ativa;
HTMX11;97,75;0,00;0,75;173.721,45;0,94;8,60;-9,30;163.647.743,98;24.158,00;Ativa;
KISU11;7,56;8,90;0,82;1.393.911,50;9,21;;;408.492.308,57;42.775,00;Ativa;
RECT11;68,76;10,84;0,74;1.031.435,85;8,14;;;759.125.513,02;80.239,00;Ativa;
DRIT11B;95,50;3,82;0,73;1.353,06;0,75;-18,29;-8,23;60.758.655,61;337,00;Ativa;
BNFS11;122,45;10,53;1,18;42.177,85;4,85;7,76;-0,95;72.884.567,41;3.423,00;Ativa;
EVBI11;97,00;5,94;0,96;495.706,12;2,86;;;109.927.362,45;143,00;Ativa;
HGFF11;72,59;9,23;0,81;411.565,60;5,21;;;257.593.227,47;9.297,00;Ativa;
RBFF11;55,79;10,41;0,82;416.855,50;0,97;3,70;;253.561.884,77;22.417,00;Ativa;
JTPR11;2.517,00;0,00;22,25;;18,53;;;24.281.346,17;9,00;Ativa;
TELD11;0,00;0,00;;;102,94;;;9.891.868,85;2,00;Ativa;
NPAR11;15,02;281,01;0,83;13.898,15;10,87;;-50,09;2.163.877,46;548,00;Ativa;
MFAI11;71,29;15,14;0,85;44.346,75;0,33;;;25.345.706,75;3.814,00;Ativa;
MVFI11;0,00;0,00;;;0,10;;;136.950.418,64;1,00;Ativa;
RZTR11;95,54;10,13;0,97;3.668.314,15;16,61;;;1.087.621.455,10;35.787,00;Ativa;
HCTR11;124,47;19,11;1,05;9.377.583,30;11,27;;;2.342.624.065,31;135.172,00;Ativa;
HGRE11;127,19;7,18;0,75;1.683.836,20;0,54;0,93;-1,78;1.997.004.653,53;113.042,00;Ativa;
MALL11;91,06;7,11;0,87;1.119.985,25;3,86;-3,59;-3,07;791.574.764,07;88.716,00;Ativa;
PQAG11;64,80;6,70;1,14;9.868,89;2,48;;;795.654.025,77;435,00;Ativa;
XPLG11;96,00;7,55;0,88;4.241.838,15;6,01;-1,92;0,14;2.969.283.438,86;274.076,00;Ativa;
JBFO11;88,83;2,85;0,99;77.500,00;0,23;;;114.690.247,01;359,00;Ativa;
